event_id,period,buys,sells,sentiment
0001096906-24-000367,-4,0,0,-0.3333332222222592
0001096906-24-000367,-3,0,0,-0.3333332222222592
0001096906-24-000367,-2,0,0,-0.3333332222222592
0001096906-24-000367,-1,0,0,-0.3333332222222592
0001096906-24-000367,0,0,0,-0.3333332222222592
0001096906-24-000367,1,0,0,-0.3333332222222592
0001096906-24-000367,2,0,0,-0.3333332222222592
0001096906-24-000367,3,0,0,-0.3333332222222592
0001096906-24-000367,4,0,0,-0.3333332222222592
0001096906-24-000367,5,0,0,-0.3333332222222592
0001096906-24-000367,6,0,0,-0.3333332222222592
0001096906-24-000367,7,0,0,-0.3333332222222592
0001096906-24-000367,8,0,0,-0.3333332222222592
0001096906-24-000573,-8,0,0,-0.4474637490384118
0001096906-24-000573,-7,0,0,-0.4474637490384118
0001096906-24-000573,-6,0,0,-0.4474637490384118
0001096906-24-000573,-5,0,0,-0.4474637490384118
0001096906-24-000573,-4,0,0,-0.4474637490384118
0001096906-24-000573,-3,0,0,-0.4474637490384118
0001096906-24-000573,-2,0,0,-0.4474637490384118
0001096906-24-000573,-1,0,0,-0.4474637490384118
0001096906-24-000573,0,0,0,-0.4474637490384118
0001096906-24-000573,1,0,0,-0.4474637490384118
0001096906-24-000573,2,0,0,-0.4474637490384118
0001096906-24-000573,3,0,0,-0.4474637490384118
0001096906-24-000573,4,0,0,-0.4474637490384118
0001096906-24-000573,5,0,0,-0.4474637490384118
0001096906-24-000573,6,0,0,-0.4474637490384118
0001096906-24-000573,7,0,0,-0.4474637490384118
0001096906-24-000573,8,0,0,-0.4474637490384118
0001096906-24-000650,-8,0,0,-0.6363631239674432
0001096906-24-000650,-7,0,0,-0.6363631239674432
0001096906-24-000650,-6,0,0,-0.6363631239674432
0001096906-24-000650,-5,0,0,-0.6363631239674432
0001096906-24-000650,-4,0,0,-0.6363631239674432
0001096906-24-000650,-3,0,0,-0.6363631239674432
0001096906-24-000650,-2,0,0,-0.6363631239674432
0001096906-24-000650,-1,0,0,-0.6363631239674432
0001096906-24-000650,0,0,0,-0.6363631239674432
0001096906-24-000650,1,0,0,-0.6363631239674432
0001096906-24-000650,2,0,0,-0.6363631239674432
0001096906-24-000650,3,0,0,-0.6363631239674432
0001096906-24-000650,4,0,0,-0.6363631239674432
0001096906-24-000650,5,0,0,-0.6363631239674432
0001096906-24-000650,6,0,0,-0.6363631239674432
0001096906-24-000650,7,0,0,-0.6363631239674432
0001096906-24-000650,8,0,0,-0.6363631239674432
0001096906-24-000652,-8,0,0,-0.29999998500000075
0001096906-24-000652,-7,0,0,-0.29999998500000075
0001096906-24-000652,-6,0,0,-0.29999998500000075
0001096906-24-000652,-5,0,0,-0.29999998500000075
0001096906-24-000652,-4,0,0,-0.29999998500000075
0001096906-24-000652,-3,0,0,-0.29999998500000075
0001096906-24-000652,-2,0,0,-0.29999998500000075
0001096906-24-000652,-1,0,0,-0.29999998500000075
0001096906-24-000652,0,0,0,-0.29999998500000075
0001096906-24-000652,1,0,0,-0.29999998500000075
0001096906-24-000652,2,0,0,-0.29999998500000075
0001096906-24-000652,3,0,0,-0.29999998500000075
0001096906-24-000652,4,0,0,-0.29999998500000075
0001096906-24-000652,5,0,0,-0.29999998500000075
0001096906-24-000652,6,0,0,-0.29999998500000075
0001096906-24-000652,7,0,0,-0.29999998500000075
0001096906-24-000652,8,0,0,-0.29999998500000075
0001096906-24-000902,-8,0,0,0.2278021908275828
0001096906-24-000902,-7,0,0,0.2278021908275828
0001096906-24-000902,-6,0,0,0.2278021908275828
0001096906-24-000902,-5,0,0,0.2278021908275828
0001096906-24-000902,-4,0,0,0.2278021908275828
0001096906-24-000902,-3,0,0,0.2278021908275828
0001096906-24-000902,-2,0,0,0.2278021908275828
0001096906-24-000902,-1,0,0,0.2278021908275828
0001096906-24-000902,0,0,0,0.2278021908275828
0001096906-24-000902,1,0,0,0.2278021908275828
0001096906-24-000902,2,0,0,0.2278021908275828
0001096906-24-000902,3,0,0,0.2278021908275828
0001096906-24-000902,4,0,0,0.2278021908275828
0001096906-24-000902,5,0,0,0.2278021908275828
0001096906-24-000902,6,0,0,0.2278021908275828
0001096906-24-000902,7,0,0,0.2278021908275828
0001096906-24-000902,8,0,0,0.2278021908275828
0001096906-24-001071,-8,0,0,0.1196497434546856
0001096906-24-001071,-7,0,0,0.1196497434546856
0001096906-24-001071,-6,0,0,0.1196497434546856
0001096906-24-001071,-5,0,0,0.1196497434546856
0001096906-24-001071,-4,0,0,0.1196497434546856
0001096906-24-001071,-3,0,0,0.1196497434546856
0001096906-24-001071,-2,0,0,0.1196497434546856
0001096906-24-001071,-1,0,0,0.1196497434546856
0001096906-24-001071,0,0,0,0.1196497434546856
0001096906-24-001071,1,0,0,0.1196497434546856
0001096906-24-001071,2,0,0,0.1196497434546856
0001096906-24-001071,3,0,0,0.1196497434546856
0001096906-24-001071,4,0,0,0.1196497434546856
0001096906-24-001071,5,0,0,0.1196497434546856
0001096906-24-001071,6,0,0,0.1196497434546856
0001096906-24-001071,7,0,0,0.1196497434546856
0001096906-24-001071,8,0,0,0.1196497434546856
0001096906-24-001492,-8,0,0,0.9999996666667778
0001096906-24-001492,-7,0,0,0.9999996666667778
0001096906-24-001492,-6,0,0,0.9999996666667778
0001096906-24-001492,-5,0,0,0.9999996666667778
0001096906-24-001492,-4,0,0,0.9999996666667778
0001096906-24-001492,-3,0,0,0.9999996666667778
0001096906-24-001492,-2,0,0,0.9999996666667778
0001096906-24-001492,-1,0,0,0.9999996666667778
0001096906-24-001492,0,0,0,0.9999996666667778
0001096906-24-001492,1,0,0,0.9999996666667778
0001096906-24-001492,2,0,0,0.9999996666667778
0001096906-24-001492,3,0,0,0.9999996666667778
0001096906-24-001492,4,0,0,0.9999996666667778
0001096906-24-001492,5,0,0,0.9999996666667778
0001096906-24-001492,6,0,0,0.9999996666667778
0001096906-24-001492,7,0,0,0.9999996666667778
0001096906-24-001492,8,0,0,0.9999996666667778
0001096906-24-001525,-8,0,0,0.99999950000025
0001096906-24-001525,-7,0,0,0.99999950000025
0001096906-24-001525,-6,0,0,0.99999950000025
0001096906-24-001525,-5,0,0,0.99999950000025
0001096906-24-001525,-4,0,0,0.99999950000025
0001096906-24-001525,-3,0,0,0.99999950000025
0001096906-24-001525,-2,0,0,0.99999950000025
0001096906-24-001525,-1,0,0,0.99999950000025
0001096906-24-001525,0,0,0,0.99999950000025
0001096906-24-001525,1,0,0,0.99999950000025
0001096906-24-001525,2,0,0,0.99999950000025
0001096906-24-001525,3,0,0,0.99999950000025
0001096906-24-001525,4,0,0,0.99999950000025
0001096906-24-001525,5,0,0,0.99999950000025
0001096906-24-001525,6,0,0,0.99999950000025
0001096906-24-001525,7,0,0,0.99999950000025
0001096906-24-001525,8,0,0,0.99999950000025
0001096906-24-001590,-8,0,0,-0.0168067318550935
0001096906-24-001590,-7,0,0,-0.0168067318550935
0001096906-24-001590,-6,0,0,-0.0168067318550935
0001096906-24-001590,-5,0,0,-0.0168067318550935
0001096906-24-001590,-4,0,0,-0.0168067318550935
0001096906-24-001590,-3,0,0,-0.0168067318550935
0001096906-24-001590,-2,0,0,-0.0168067318550935
0001096906-24-001590,-1,0,1,-0.0168067318550935
0001096906-24-001590,0,0,0,-0.0168067318550935
0001096906-24-001590,1,0,0,-0.0168067318550935
0001096906-24-001590,2,0,0,-0.0168067318550935
0001096906-24-001590,3,0,0,-0.0168067318550935
0001096906-24-001590,4,0,0,-0.0168067318550935
0001096906-24-001590,5,0,0,-0.0168067318550935
0001096906-24-001590,6,0,0,-0.0168067318550935
0001096906-24-001590,7,0,0,-0.0168067318550935
0001096906-24-001590,8,0,0,-0.0168067318550935
0001096906-24-001786,-8,0,0,-0.009103884650179028
0001096906-24-001786,-7,0,0,-0.009103884650179028
0001096906-24-001786,-6,0,0,-0.009103884650179028
0001096906-24-001786,-5,0,0,-0.009103884650179028
0001096906-24-001786,-4,0,0,-0.009103884650179028
0001096906-24-001786,-3,0,0,-0.009103884650179028
0001096906-24-001786,-2,0,0,-0.009103884650179028
0001096906-24-001786,-1,0,0,-0.009103884650179028
0001096906-24-001786,0,0,0,-0.009103884650179028
0001096906-24-001786,1,0,0,-0.009103884650179028
0001096906-24-001786,2,0,0,-0.009103884650179028
0001096906-24-001786,3,0,0,-0.009103884650179028
0001096906-24-001786,4,0,0,-0.009103884650179028
0001096906-24-001786,5,0,0,-0.009103884650179028
0001096906-24-001786,6,0,0,-0.009103884650179028
0001096906-24-001786,7,0,0,-0.009103884650179028
0001096906-24-001786,8,0,0,-0.009103884650179028
0001096906-24-001799,-8,0,0,0.999999000001
0001096906-24-001799,-7,0,0,0.999999000001
0001096906-24-001799,-6,0,0,0.999999000001
0001096906-24-001799,-5,0,0,0.999999000001
0001096906-24-001799,-4,0,0,0.999999000001
0001096906-24-001799,-3,0,0,0.999999000001
0001096906-24-001799,-2,0,0,0.999999000001
0001096906-24-001799,-1,0,0,0.999999000001
0001096906-24-001799,0,0,0,0.999999000001
0001096906-24-001799,1,0,0,0.999999000001
0001096906-24-001799,2,0,0,0.999999000001
0001096906-24-001799,3,0,0,0.999999000001
0001096906-24-001799,4,0,0,0.999999000001
0001096906-24-001799,5,0,0,0.999999000001
0001096906-24-001799,6,0,0,0.999999000001
0001096906-24-001799,7,0,0,0.999999000001
0001096906-24-001799,8,0,0,0.999999000001
0001096906-24-001810,-8,0,0,0.4999998750000312
0001096906-24-001810,-7,0,0,0.4999998750000312
0001096906-24-001810,-6,0,0,0.4999998750000312
0001096906-24-001810,-5,0,0,0.4999998750000312
0001096906-24-001810,-4,0,0,0.4999998750000312
0001096906-24-001810,-3,0,0,0.4999998750000312
0001096906-24-001810,-2,0,0,0.4999998750000312
0001096906-24-001810,-1,0,0,0.4999998750000312
0001096906-24-001810,0,0,0,0.4999998750000312
0001096906-24-001810,1,0,0,0.4999998750000312
0001096906-24-001810,2,0,0,0.4999998750000312
0001096906-24-001810,3,0,0,0.4999998750000312
0001096906-24-001810,4,0,0,0.4999998750000312
0001096906-24-001810,5,0,0,0.4999998750000312
0001096906-24-001810,6,0,0,0.4999998750000312
0001096906-24-001810,7,0,0,0.4999998750000312
0001096906-24-001810,8,0,0,0.4999998750000312
0001096906-24-001831,-8,0,0,-0.7333328177782787
0001096906-24-001831,-7,0,0,-0.7333328177782787
